"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"different_gini_levels_relativ"
"04/05/2021 17:13:37:674 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","inequality_distribution_mode","scaling_param_migration","deforestation_per_step_worker_ha","internal_validation_mode","export_sim_csv_files","desired_gini_level","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"7","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","1.3125385347004713E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"4","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","-2.6250770694009426E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"2","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","-1.3125385347004713E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"8","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","5.250154138801885E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"3","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","3.9376156041014143E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"5","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","-1.3125385347004713E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"6","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","2.625077069400943E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"1","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","-3.937615604101414E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"7","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.013715710723191488","30.186472142499145","10.049999999999995","0.2197112366603892","731","21.92999999999998","1000"
"4","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.014165973954003201","30.209954122696125","9.749999999999996","0.21720025109855617","734","22.01999999999998","1000"
"2","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.013992795788307146","30.170139363300922","9.899999999999991","0.22033898305084745","734","22.01999999999997","1000"
"8","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.014269880853421752","30.173348358603043","9.809999999999993","0.2184557438794727","739","22.169999999999977","1000"
"3","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.013888888888889383","30.217003154214915","9.92999999999999","0.22284996861268047","732","21.95999999999999","1000"
"5","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.014027431421446093","30.17738611651919","9.809999999999992","0.22033898305084745","732","21.95999999999997","1000"
"7","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.026669437517318102","30.741695342194575","20.85","0.23854362837413684","734","43.950000000000045","1000"
"6","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.01472014408423386","30.200259412226444","9.569999999999999","0.21343377275580666","744","22.319999999999983","1000"
"1","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.01426988085342241","30.179950371078576","9.959999999999997","0.22096672944130571","744","22.319999999999993","1000"
"4","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.02774314214463837","30.846381109650707","20.18999999999999","0.2322661644695543","740","44.22000000000004","1000"
"2","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.027847049044056396","30.723671204564816","20.189999999999973","0.23414940364092907","743","44.31000000000004","1000"
"3","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.02718897201440811","30.806689820278436","20.48999999999998","0.23666038920276208","736","44.04000000000007","1000"
"8","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.027223607647548498","30.789736327466425","20.819999999999986","0.2379158819836786","741","44.40000000000005","1000"
"7","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.03858409531726183","31.305186864981366","32.49000000000005","0.25486503452605147","732","65.91000000000032","1000"
"5","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.027569963978941788","30.765403802076303","20.369999999999983","0.23414940364092907","743","44.250000000000036","1000"
"6","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.02847049044056535","30.768325812173018","20.069999999999983","0.2322661644695543","747","44.73000000000008","1000"
"1","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.02756996397894166","30.71748460743337","20.54999999999999","0.23540489642184556","737","44.43000000000007","1000"
"2","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.04104322527015814","31.2534295948808","31.17000000000001","0.24670433145009416","747","66.72000000000027","1000"
"4","on","off","relative","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.040696868938764064","31.501458825617625","31.35000000000001","0.24733207784055242","746","66.60000000000028","1000"
