"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"different_gini_levels_total"
"04/06/2021 18:28:59:335 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","inequality_distribution_mode","scaling_param_migration","deforestation_per_step_worker_ha","internal_validation_mode","export_sim_csv_files","desired_gini_level","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"7","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","1.5750462416405655E-15","4.993984945044778","0","0.20464532328939108","707","0","1000"
"8","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","1.9688078020507068E-15","4.993984945044778","0","0.20464532328939108","707","0","1000"
"4","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","1.5750462416405653E-15","4.993984945044778","0","0.20464532328939108","707","0","1000"
"1","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","1.7063000951106126E-15","4.993984945044778","0","0.20464532328939108","707","0","1000"
"3","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","1.8375539485806595E-15","4.993984945044778","0","0.20464532328939108","707","0","1000"
"5","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","1.83755394858066E-15","4.993984945044778","0","0.20464532328939108","707","0","1000"
"2","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","1.7063000951106126E-15","4.993984945044778","0","0.20464532328939108","707","0","1000"
"6","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","0","1.7063000951106128E-15","4.993984945044778","0","0.20464532328939108","707","0","1000"
"7","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.013681075090052933","5.514344939123656","9.989999999999993","0.22096672944130571","728","21.839999999999986","1000"
"8","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.0134386256580778","5.516085668717219","10.07999999999999","0.224105461393597","724","21.719999999999988","1000"
"4","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.01305763369354464","5.5222628693858296","10.409999999999988","0.22598870056497175","724","21.719999999999967","1000"
"3","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.014235245220283195","5.480608771869894","9.659999999999995","0.21531701192718142","733","21.98999999999997","1000"
"1","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.01413133832086504","5.512739071038269","9.839999999999996","0.21908349026993096","736","22.07999999999998","1000"
"5","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.013958160155167805","5.504571591232525","9.689999999999992","0.21782799748901444","726","21.77999999999997","1000"
"2","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.014512330285398854","5.521366062385472","9.749999999999991","0.21720025109855617","744","22.31999999999997","1000"
"7","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.026600166251040076","6.14876293297344","20.72999999999999","0.23728813559322035","731","43.7700000000001","1000"
"4","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.025249376558604278","6.149308018873188","21.569999999999993","0.24105461393596986","724","43.440000000000055","1000"
"6","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","1","0.014096702687726092","5.500461081321036","9.929999999999996","0.2184557438794727","738","22.13999999999996","1000"
"3","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.02739678581324573","6.128903572351602","20.159999999999997","0.2322661644695543","730","43.890000000000036","1000"
"8","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.02670407315045784","6.158036186170931","20.639999999999993","0.2322661644695543","735","43.77000000000009","1000"
"1","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.027500692712663893","6.1644756061933785","20.369999999999976","0.23289391086001254","737","44.19000000000006","1000"
"2","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.028851482405099684","6.122975929978084","19.799999999999994","0.2310106716886378","749","44.790000000000035","1000"
"5","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.027085065114991657","6.130010566309186","20.309999999999988","0.23477715003138733","733","43.77000000000006","1000"
"7","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.03809919645331103","6.9271208683660515","32.459999999999994","0.25549278091650973","723","65.4600000000003","1000"
"8","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.0384801884178438","6.943890426797445","32.19000000000002","0.2504708097928437","725","65.52000000000032","1000"
"6","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","2","0.027050429481852052","6.128036511201753","20.63999999999999","0.23540489642184556","731","44.07000000000004","1000"
"3","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.039900249376559185","6.891819877431463","31.230000000000047","0.24670433145009416","730","65.79000000000029","1000"
"4","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.037198669991687604","6.862029430753183","33.060000000000045","0.25360954174513495","728","65.28000000000031","1000"
"1","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.04014269880853472","6.9519274527433215","31.530000000000012","0.24733207784055242","737","66.30000000000031","1000"
"2","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.0416666666666667","6.814341922970378","30.57000000000001","0.2504708097928437","729","66.66000000000028","1000"
"5","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.038999722914935114","6.897070915838868","31.83000000000001","0.2523540489642185","728","65.61000000000031","1000"
"7","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","4","0.04966749792186356","7.79514507578261","44.76000000000019","0.26867545511613306","744","87.7800000000009","1000"
"8","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","4","0.051260737046273964","7.797377438060117","43.68000000000019","0.26114249843063403","752","88.08000000000091","1000"
"6","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","3","0.03913826544749301","6.874086172033017","31.800000000000008","0.24858757062146894","721","65.7000000000003","1000"
"3","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","4","0.052265170407316194","7.768989390298804","43.11000000000019","0.25925925925925924","753","88.3800000000009","1000"
"4","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","4","0.04852452202826342","7.710952553981002","45.330000000000226","0.2667922159447583","736","87.36000000000094","1000"
"1","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","4","0.05223053477417686","7.842681588764549","43.50000000000014","0.263653483992467","748","88.7400000000009","1000"
"2","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","4","0.05413549459684239","7.6049504408301924","42.18000000000014","0.2642812303829253","747","89.07000000000085","1000"
"5","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","4","0.05056802438348686","7.796111917007352","44.07000000000019","0.2674199623352166","742","87.87000000000087","1000"
"7","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","5","0.05988500969797702","8.665686306547766","57.66000000000041","0.28562460765850595","725","109.53000000000152","1000"
"8","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","5","0.0618938764200611","8.687215282081425","56.550000000000374","0.2793471437539234","736","110.1600000000015","1000"
"3","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","5","0.06314075921307846","8.657512081229331","55.89000000000033","0.2755806654111739","740","110.58000000000153","1000"
"6","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","4","0.05081047381546199","7.746618763527723","44.07000000000018","0.26616446955430006","746","88.08000000000091","1000"
"1","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","5","0.06338320864505399","8.732948993550968","56.280000000000285","0.2768361581920904","748","111.18000000000153","1000"
"2","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","5","0.06466472707121085","8.371829489139762","54.69000000000031","0.28562460765850595","721","110.70000000000148","1000"
"4","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","5","0.058603491271820685","8.63568250229034","58.44000000000041","0.28185812931575643","728","109.20000000000155","1000"
"5","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","5","0.060993349958437554","8.752978813697682","57.090000000000394","0.27997489014438165","735","109.92000000000145","1000"
"7","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","6","0.06944444444444572","9.591994040871892","71.1900000000007","0.30006277463904585","727","131.34000000000216","1000"
"8","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","6","0.07190357439734021","9.552485890310654","69.99000000000068","0.29817953546767106","737","132.27000000000214","1000"
"3","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","6","0.07405098365198153","9.572234762979688","69.18000000000052","0.288135593220339","758","133.32000000000218","1000"
"6","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","5","0.06102798559157755","8.613708080346548","57.21000000000035","0.2837413684871312","733","110.07000000000156","1000"
"1","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","6","0.0734275422554731","9.637110652211337","69.99000000000055","0.29441305712492155","747","133.59000000000216","1000"
"2","on","off","total","1.2","0.03","off","false","5","0.8","0.05","empirical_data","6","0.07394707675256376","9.27445415551329","68.67000000000058","0.30257376020087884","734","132.72000000000216","1000"
