"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"experiment_inequality_a"
"04/05/2021 10:12:11:942 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","inequality_distribution_mode","scaling_param_migration","deforestation_per_step_worker_ha","internal_validation_mode","export_sim_csv_files","desired_gini_level","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","0","34.12592361688371","0","0.20464532328939108","707","0","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","0","34.12592361688371","0","0.20464532328939108","707","0","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","0","34.12592361688371","0","0.20464532328939108","707","0","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","0","34.12592361688371","0","0.20464532328939108","707","0","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","-1.3125385347004713E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","-1.3125385347004713E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","0","34.12592361688371","0","0.20464532328939108","707","0","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","1.3125385347004715E-16","34.12592361688371","0","0.20464532328939108","707","0","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.01330008312551833","33.94921839394764","10.34999999999999","0.22849968612680477","729","21.86999999999997","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.01475477971737189","33.94354563451424","9.869999999999996","0.2184557438794727","755","22.649999999999967","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.014512330285396231","33.97747886153876","9.989999999999993","0.22598870056497175","752","22.559999999999977","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.013992795788305307","34.04520198569926","10.259999999999991","0.2253609541745135","746","22.37999999999997","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.014096702687723598","34.01777155412861","10.139999999999992","0.2253609541745135","745","22.349999999999977","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.014443059019117676","33.97013668385165","9.959999999999992","0.22159447583176398","749","22.46999999999997","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.014165973954002545","33.95080996778338","10.079999999999998","0.224105461393597","745","22.34999999999998","1000"
