"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"experiment_inequality_b"
"04/05/2021 10:17:50:574 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","inequality_distribution_mode","scaling_param_migration","deforestation_per_step_worker_ha","internal_validation_mode","export_sim_csv_files","desired_gini_level","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","-0.03676992153990564","1.2679336265657284","0","0.20464532328939108","707","0","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","0.00383718547838941","0.673001799366435","0","0.20464532328939108","707","0","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","0.011949853305453523","1.0309789247477106","0","0.20464532328939108","707","0","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","-0.010731761814892079","0.56589347897958","0","0.20464532328939108","707","0","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","-9.906325764165726E-4","0.5262385450072768","0","0.20464532328939108","707","0","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","-0.01603578448890528","1.1472926388092324","0","0.20464532328939108","707","0","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","-0.0011923833124759318","0.9108340998421851","0","0.20464532328939108","707","0","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","0","-1.263168540468888E-4","0.6005531900242551","0","0.20464532328939108","707","0","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","-0.022811761384738623","1.872940258821644","9.92999999999999","0.21720025109855617","734","22.019999999999982","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.0260811916263183","1.6976185896869858","9.779999999999994","0.22033898305084745","734","22.01999999999996","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.01661773410681879","1.593416487372214","10.259999999999996","0.2297551789077213","711","21.329999999999966","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.00222196497923401","1.5251125166095223","10.289999999999983","0.2297551789077213","717","21.509999999999973","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.012661869943273715","1.6425120124688388","9.839999999999998","0.2222222222222222","728","21.83999999999998","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.01303679884503018","1.5510188960860263","9.719999999999994","0.2197112366603892","729","21.869999999999987","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","-0.00242398066513182","1.8362592708496068","9.929999999999989","0.22096672944130571","724","21.71999999999999","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","1","0.013450851336587624","1.52742234473966","10.019999999999987","0.22096672944130571","726","21.779999999999987","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","2","-0.010031212756308328","3.050714463689302","20.669999999999966","0.23540489642184556","727","43.83000000000011","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","2","0.014448343477432861","2.8417373488332847","21.239999999999977","0.24168236032642812","718","43.05000000000003","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","2","0.028359213741066324","2.8256066014929146","21.359999999999996","0.24795982423101068","709","42.60000000000003","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","2","0.03861929082277202","2.8515107148135908","20.579999999999995","0.2391713747645951","722","43.680000000000035","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","2","0.0101141185313219","2.9809299290584796","20.66999999999998","0.23979912115505336","720","43.32000000000009","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","2","0.02519996913972691","2.7692177033441574","20.549999999999997","0.24231010671688638","719","43.41000000000002","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","2","0.02533244860950798","2.8269103119772594","20.63999999999999","0.24105461393596986","719","43.44000000000005","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","2","0.026092857432458847","2.7696386944099656","20.90999999999999","0.24168236032642812","728","43.62000000000007","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","3","0.001398546179683945","4.327948139942746","32.39999999999998","0.2529817953546767","721","65.46000000000032","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","3","0.025704924247729737","4.130639636744995","33.150000000000006","0.2573760200878845","722","64.71000000000028","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","3","0.05067249115527442","4.063386016641513","31.770000000000035","0.25109855618330196","721","65.31000000000026","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","3","0.021370699301617724","4.212557169257255","32.37000000000001","0.25925925925925924","715","64.77000000000031","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","3","0.03920016691369122","4.047978117821013","33.21000000000002","0.263653483992467","708","63.840000000000266","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","3","0.03624873611118668","3.9120169145740586","32.040000000000035","0.263653483992467","702","64.47000000000023","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","3","0.03790360833298506","4.006858489134764","32.25000000000003","0.2529817953546767","719","65.19000000000034","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","3","0.03634657994782828","4.062053980639388","32.40000000000005","0.26114249843063403","710","64.74000000000024","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.012447313151143715","5.575252396624151","44.910000000000146","0.2711864406779661","736","87.54000000000092","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.036615148686631745","5.357945960139231","45.36000000000017","0.27746390458254866","722","86.37000000000089","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.06224079262382484","5.242225282108393","43.95000000000019","0.26867545511613306","740","87.51000000000086","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.03196920304226617","5.447866751057976","44.7900000000002","0.2768361581920904","720","86.3700000000009","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.049417678689805726","5.2430428761889605","45.99000000000018","0.27997489014438165","721","85.47000000000087","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.047332138715785795","5.024380994604681","44.31000000000023","0.2768361581920904","729","86.3400000000008","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.04687581242219739","5.2784234122420015","45.00000000000025","0.27746390458254866","724","86.46000000000087","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.048328933907936675","5.210172009803217","44.82000000000019","0.2780916509730069","720","86.79000000000089","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.02280336745981743","6.761184963775091","57.780000000000314","0.2837413684871312","728","109.38000000000152","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.04634776159879624","6.52597930891258","58.14000000000035","0.2950408035153798","707","107.58000000000146","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.0582151295072068","6.399519390848367","59.64000000000035","0.29441305712492155","709","106.7400000000015","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.04125155272361831","6.6681702545691115","58.26000000000039","0.29315756434400503","717","107.88000000000146","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.055707898872738075","6.463571554853321","58.650000000000475","0.295668549905838","710","107.76000000000151","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.07214658370168553","6.394739137146549","57.06000000000035","0.28688010043942247","723","109.20000000000147","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.05675303092969609","6.164316518764888","57.570000000000434","0.2937853107344633","714","107.76000000000143","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.05726492725789486","6.3337339704329265","58.35000000000037","0.29441305712492155","709","108.06000000000154","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.05614964577724008","7.663391217274457","71.52000000000062","0.30634023854362835","729","129.4500000000021","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.03225889530686627","7.9421720381406615","71.6700000000006","0.30006277463904585","736","131.46000000000214","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.0812903908504799","7.555447652793628","70.98000000000063","0.3032015065913371","728","131.04000000000212","1000"
"2","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.06680476652577183","7.539589815174226","73.92000000000067","0.3101067168863779","724","128.46000000000217","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.06370873012793336","7.592338900989553","73.05000000000078","0.3163841807909605","711","129.09000000000216","1000"
"7","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.04984118974218359","7.846173789128642","72.18000000000067","0.31324544883866917","712","129.24000000000203","1000"
"6","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.06506558288314505","7.302197554263223","71.9700000000007","0.31512868801004396","720","129.36000000000203","1000"
"4","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","6","0.06557747921134514","7.389757609166354","72.60000000000066","0.31198995605775265","715","129.51000000000215","1000"
"3","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.06425438393185234","8.836540730629737","86.130000000001","0.32077840552416825","721","151.0800000000029","1000"
"1","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.04164515188763643","9.131136428038026","85.80000000000099","0.3113622096672944","742","153.72000000000298","1000"
"5","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.08960294280392966","8.675710829405288","85.56000000000103","0.3220338983050847","726","152.82000000000295","1000"
"8","off","on","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","7","0.0705665854895289","8.715804190093982","88.4400000000012","0.3333333333333333","711","150.42000000000297","1000"
