"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"gini_phase_diagram"
"04/06/2021 23:19:22:420 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","deforestation_per_step_worker_ha","scaling_param_migration","inequality_distribution_mode","internal_validation_mode","mig_coeff_sna_input","mig_coeff_age_input","desired_gini_level","export_sim_csv_files","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","gini-index-reserve-relative","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"2","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","0","2.625077069400943E-16","34.12592361688371","4.997699472443852","0","0.20464532328939108","707","0","1000"
"6","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","0","5.250154138801885E-16","34.12592361688371","4.9976543947640515","0","0.20464532328939108","707","0","1000"
"5","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","0","-5.250154138801884E-16","34.12592361688371","4.997699472443852","0","0.20464532328939108","707","0","1000"
"1","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","0","1.3125385347004715E-16","34.12592361688371","4.9976543947640515","0","0.20464532328939108","707","0","1000"
"2","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","1","0.01361180382377425","30.22894242268917","6.034156222816466","10.17","0.2222222222222222","732","21.959999999999983","1000"
"8","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","0","1.3125385347004713E-16","34.12592361688371","4.9976543947640515","0","0.20464532328939108","707","0","1000"
"4","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","0","1.3125385347004713E-16","34.12592361688371","4.9976543947640515","0","0.20464532328939108","707","0","1000"
"6","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","1","0.014304516486561227","30.198770701724367","5.833944917533768","9.809999999999995","0.21720025109855617","740","22.199999999999964","1000"
"5","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","1","0.014165973954003855","30.23301799801911","5.899472441700711","9.989999999999998","0.21720025109855617","742","22.259999999999977","1000"
"3","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","0","1.3125385347004713E-16","34.12592361688371","4.9976543947640515","0","0.20464532328939108","707","0","1000"
"2","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","2","0.026807980049875346","30.867210865996487","8.38070231649394","20.999999999999986","0.23414940364092907","742","44.220000000000056","1000"
"7","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","0","-2.6250770694009426E-16","34.12592361688371","4.997699472443852","0","0.20464532328939108","707","0","1000"
"1","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","1","0.013819617622610305","30.2019746506781","6.356117897262478","9.929999999999993","0.22159447583176398","730","21.899999999999974","1000"
"6","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","2","0.02770850651149916","30.75539228902664","7.327640049401513","20.460000000000004","0.23540489642184556","742","44.460000000000015","1000"
"8","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","1","0.013923524522027542","30.175400241397323","5.783727087347005","9.899999999999995","0.22033898305084745","732","21.959999999999976","1000"
"5","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","2","0.02819340537545047","30.8266635226481","7.609394823806383","20.189999999999987","0.23038292529817953","745","44.61000000000005","1000"
"4","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","1","0.014269880853421752","30.197627828620785","5.961351286963316","9.689999999999994","0.21594475831763968","735","22.04999999999997","1000"
"2","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","3","0.039242172346910645","31.47359884463696","10.028257990393072","32.25000000000001","0.24795982423101068","734","66.24000000000031","1000"
"3","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","1","0.014235245220282279","30.200138874659878","6.281755722835496","9.839999999999996","0.21908349026993096","739","22.169999999999966","1000"
"6","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","3","0.04031587697423104","31.33349980023965","8.92306859664608","31.770000000000035","0.24419334588826114","741","66.69000000000024","1000"
"8","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","2","0.027569963978941788","30.735113028627875","7.203759659388783","20.27999999999998","0.23163841807909605","740","44.160000000000075","1000"
"1","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","2","0.026807980049875346","30.75023049765","8.42001723096189","20.639999999999986","0.24356559949780288","732","43.86000000000004","1000"
"5","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","3","0.04142421723469077","31.429947674160786","9.130110242371426","31.08000000000001","0.2448210922787194","745","66.96000000000029","1000"
"7","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","1","0.013784981989470304","30.19229017196213","6.209053436892859","9.929999999999994","0.22284996861268047","729","21.869999999999976","1000"
"4","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","2","0.02850512607370495","30.800639838356577","7.494557848049297","19.97999999999999","0.22912743251726303","754","44.670000000000066","1000"
"6","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","4","0.0531310612357995","31.882917845162133","11.130912242935889","43.56000000000021","0.2617702448210923","763","89.58000000000081","1000"
"2","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","4","0.05212662787475805","32.11463717066635","11.837422108266601","44.04000000000017","0.2580037664783427","765","89.19000000000086","1000"
"3","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","2","0.027916320310335738","30.781948469124135","7.488725593119039","20.249999999999982","0.23163841807909605","742","44.43000000000005","1000"
"8","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","3","0.0398656137434188","31.316579511263527","9.733848884283411","31.5","0.24921531701192717","729","66.03000000000033","1000"
"1","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","3","0.03841091715156512","31.31730095727292","10.170895807802792","32.12999999999999","0.26114249843063403","718","65.40000000000032","1000"
"7","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","2","0.02673870878359692","30.785364098412217","7.56961749998646","20.789999999999978","0.2379158819836786","736","43.95000000000012","1000"
"5","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","4","0.05413549459684094","32.063140025190236","11.173806302613476","42.90000000000013","0.2630257376020088","761","89.7900000000008","1000"
"4","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","3","0.04177057356608394","31.439468493029196","9.987000209562325","30.870000000000005","0.24168236032642812","746","67.05000000000037","1000"
"6","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","5","0.06452618453865373","32.482663629954914","13.630671663474484","56.3700000000004","0.2793471437539234","756","112.26000000000137","1000"
"2","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","5","0.06369492934330823","32.753595345858606","13.883608176135443","56.58000000000035","0.27369742623979915","752","111.75000000000144","1000"
"8","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","4","0.052195899141036464","31.891054127302823","10.989573652993402","43.350000000000136","0.263653483992467","751","88.56000000000087","1000"
"7","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","3","0.038722637849819455","31.361376014226906","10.054538084591204","32.34000000000001","0.25549278091650973","731","65.88000000000036","1000"
"5","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","5","0.06542671100027676","32.6756607392477","12.56093725328935","55.59000000000027","0.27746390458254866","749","112.2600000000014","1000"
"1","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","4","0.04949431975616541","31.901169378348314","12.330460407256703","44.61000000000018","0.2768361581920904","736","87.48000000000084","1000"
"3","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","3","0.04055832640620604","31.35731007777735","9.482276024606827","31.380000000000027","0.24670433145009416","736","66.51000000000028","1000"
"4","on","off","0.03","1.2","relative","off","0.6","0","5","false","0.8","0.05","empirical_data","4","0.054551122194513184","32.101454987355005","11.665735611981296","42.48000000000016","0.256120527306968","756","89.73000000000094","1000"
