relhead,commun,hhnum,surveyyr,age,sex,currently_migrated
1,10,23,1990,52,1,1
2,10,23,1990,48,2,0
3,10,23,1990,29,1,0
3,10,23,1990,25,1,0
3,10,23,1990,24,2,0
3,10,23,1990,24,2,1
3,10,23,1990,11,1,1
3,10,23,1990,18,1,1
3,10,23,1990,17,2,1
3,10,23,1990,14,2,1
3,10,23,1990,4,2,0
1,10,38,1990,77,1,1
2,10,38,1990,77,2,1
3,10,38,1990,57,2,0
3,10,38,1990,55,1,1
3,10,38,1990,53,1,1
3,10,38,1990,51,2,1
3,10,38,1990,49,1,1
3,10,38,1990,46,1,1
3,10,38,1990,44,1,1
3,10,38,1990,40,2,1
3,10,38,1990,38,2,1
1,10,97,1990,53,1,1
2,10,97,1990,52,2,1
3,10,97,1990,34,2,1
3,10,97,1990,32,1,1
3,10,97,1990,30,1,1
3,10,97,1990,19,1,1
3,10,97,1990,14,1,0
3,10,97,1990,9,1,0
1,10,101,1990,36,1,1
2,10,101,1990,33,2,1
3,10,101,1990,14,1,0
1,10,103,1990,61,1,1
2,10,103,1990,58,2,0
3,10,103,1990,29,2,0
3,10,103,1990,25,1,1
3,10,103,1990,24,2,0
3,10,103,1990,23,1,1
3,10,103,1990,21,2,0
3,10,103,1990,19,2,0
3,10,103,1990,17,2,0
1,10,119,1990,72,1,1
2,10,119,1990,70,2,0
3,10,119,1990,47,2,0
3,10,119,1990,45,2,1
3,10,119,1990,43,1,1
3,10,119,1990,41,2,0
1,10,122,1990,77,1,1
2,10,122,1990,77,2,0
3,10,122,1990,50,2,1
3,10,122,1990,47,2,1
3,10,122,1990,44,2,0
3,10,122,1990,38,1,1
3,10,122,1990,42,2,0
3,10,122,1990,36,1,1
3,10,122,1990,33,2,1
1,10,130,1990,58,1,1
2,10,130,1990,55,2,1
3,10,130,1990,37,2,0
3,10,130,1990,36,1,1
3,10,130,1990,34,2,1
3,10,130,1990,30,1,1
3,10,130,1990,28,1,1
3,10,130,1990,26,1,1
3,10,130,1990,24,2,1
3,10,130,1990,22,1,1
3,10,130,1990,20,1,1
3,10,130,1990,18,1,1
3,10,130,1990,17,2,1
1,10,140,1990,53,1,1
2,10,140,1990,50,2,0
3,10,140,1990,31,1,1
3,10,140,1990,28,1,1
3,10,140,1990,26,1,0
3,10,140,1990,23,1,1
3,10,140,1990,22,1,1
3,10,140,1990,20,2,1
3,10,140,1990,18,1,1
3,10,140,1990,14,2,0
1,20,5,1982,45,1,0
2,20,5,1982,45,2,0
3,20,5,1982,26,1,1
3,20,5,1982,24,1,1
3,20,5,1982,23,2,0
3,20,5,1982,21,2,0
3,20,5,1982,19,1,0
3,20,5,1982,16,1,0
3,20,5,1982,15,1,0
3,20,5,1982,13,1,0
3,20,5,1982,12,2,0
3,20,5,1982,11,2,0
3,20,5,1982,10,2,0
3,20,5,1982,6,2,0
3,20,5,1982,4,1,0
3,20,5,1982,1,1,0
1,20,16,1982,68,1,0
2,20,16,1982,68,2,0
3,20,16,1982,43,1,0
3,20,16,1982,36,2,0
3,20,16,1982,29,2,0
1,20,18,1982,52,1,1
2,20,18,1982,38,2,0
3,20,18,1982,19,2,0
3,20,18,1982,18,1,0
3,20,18,1982,17,1,0
3,20,18,1982,14,1,0
3,20,18,1982,12,2,0
3,20,18,1982,8,2,0
1,20,22,1982,44,2,0
3,20,22,1982,28,1,0
1,20,26,1982,41,1,1
2,20,26,1982,33,2,0
3,20,26,1982,16,2,0
3,20,26,1982,13,2,0
3,20,26,1982,12,2,0
3,20,26,1982,10,2,0
3,20,26,1982,9,1,0
1,20,27,1982,47,1,1
2,20,27,1982,45,2,0
3,20,27,1982,24,1,1
3,20,27,1982,22,1,0
3,20,27,1982,20,1,0
3,20,27,1982,18,2,0
3,20,27,1982,16,1,0
3,20,27,1982,13,1,0
3,20,27,1982,12,2,0
3,20,27,1982,11,1,0
3,20,27,1982,10,1,0
1,20,46,1982,61,1,1
2,20,46,1982,56,2,0
3,20,46,1982,38,2,1
3,20,46,1982,35,1,1
3,20,46,1982,32,2,0
3,20,46,1982,30,1,1
3,20,46,1982,27,1,1
3,20,46,1982,17,2,0
1,20,63,1982,64,1,1
2,20,63,1982,57,2,0
3,20,63,1982,36,2,0
3,20,63,1982,35,1,1
3,20,63,1982,31,2,0
