total_land,lifecycl,members,workers,nonwork,commun,hhnum,surveyyr
3,3,6,1,5,49,62,1996
8,5,3,2,1,122,108,2008
3,3,10,2,8,49,22,1996
0.5,2,5,1,4,49,18,1996
10,3,4,2,2,120,52,2007
1,3,4,2,2,122,75,2008
0.5,3,4,2,2,108,46,2005
2,3,8,2,6,49,16,1996
1,3,5,1,4,50,80,1996
2,5,2,1,1,109,28,2005
2,5,2,1,1,50,7,1996
2,5,4,3,1,109,12,2005
1,1,2,1,1,49,82,1996
1,3,5,4,1,10,97,1990
1.5,5,9,3,7,122,73,2008
3,4,3,2,1,10,101,1990
2,3,5,1,4,49,100,1996
2,3,8,1,7,49,86,1996
3,3,7,2,5,49,68,1996
0.75,3,4,3,1,108,5,2005
1,1,2,1,1,21,29,1982
4,3,6,2,4,49,88,1996
1.5,3,3,1,2,50,75,1996
2,5,4,2,2,21,89,1982
2,2,6,1,5,49,93,1996
1,2,2,1,1,49,74,1996
5,3,6,3,3,49,84,1996
2,3,8,1,7,49,32,1996
6,5,4,1,3,146,83,2014
0.5,3,8,3,5,49,17,1996
1,5,4,2,2,21,41,1982
1,2,6,1,5,49,47,1996
8,3,8,1,7,50,85,1996
1,5,3,2,1,20,79,1982
6,3,6,3,3,21,85,1982
5,5,3,2,1,120,26,2007
2,3,9,2,7,50,44,1996
1,2,4,2,2,122,186,2008
2,2,5,1,4,49,78,1996
6,5,2,2,0,21,37,1982
3,3,6,3,3,49,92,1996
8,2,5,1,4,25,11,1992
6,5,6,3,3,109,32,2005
6,5,6,4,2,122,42,2008
3,3,7,6,1,10,130,1990
2,3,6,3,3,21,39,1982
1,3,8,1,7,49,96,1996
0.75,3,4,1,3,108,24,2005
0.5,3,8,3,5,49,56,1996
3,2,7,2,5,49,60,1996
1,3,5,3,2,108,53,2005
8,5,6,3,3,20,106,1982
3,5,7,2,5,50,10,1996
2,3,10,1,9,49,40,1996
2,3,4,2,2,50,16,1996
0.75,3,5,2,3,108,18,2005
5,5,2,1,1,146,55,2014
6,3,7,1,6,20,26,1982
4,5,2,1,1,49,39,1996
2,3,8,2,6,49,55,1996
4,3,10,4,6,21,42,1982
6,3,4,2,2,20,46,1982
4,5,4,2,2,21,24,1982
1.75,4,1,1,0,109,20,2005
3,2,5,1,4,50,21,1996
1,3,3,1,2,120,119,2007
